"id","station_code","station_location","created_at","updated_at","deleted_at"
163,CAY,"Conway, NH","2024-01-14 09:56:05","2024-01-14 09:56:05",
164,CBY,"Coos Bay, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
165,COQ,"Coquitlam - Bus Station, BC","2024-01-14 09:56:05","2024-01-14 09:56:05",
166,COC,"Corcoran, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
167,CWH,"Cornwells Heights, PA","2024-01-14 09:56:05","2024-01-14 09:56:05",
168,CVI,"Corvallis, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
169,CLK,"Crater Lake - Bus Station, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
170,CRB,"Crawfordsville - Bus, IN","2024-01-14 09:56:05","2024-01-14 09:56:05",
171,CRF,"Crawfordsville, IN","2024-01-14 09:56:05","2024-01-14 09:56:05",
172,CRC,"Crescent City - Bus Stop, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
173,CRN,"Creston, IA","2024-01-14 09:56:05","2024-01-14 09:56:05",
174,CRT,"Croton-Harmon, NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
175,CLP,"Culpeper, VA","2024-01-14 09:56:05","2024-01-14 09:56:05",
176,CUA,"Cumberland - Allegany College Bus Stop, MD","2024-01-14 09:56:05","2024-01-14 09:56:05",
177,CUM,"Cumberland, MD","2024-01-14 09:56:05","2024-01-14 09:56:05",
178,CUT,"Cut Bank, MT","2024-01-14 09:56:05","2024-01-14 09:56:05",
179,STP,"Clearwater, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
180,BUF,"Depew, NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
181,DDE,"Dade City, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
182,DAG,"Dallas - Bus Station, TX","2024-01-14 09:56:05","2024-01-14 09:56:05",
183,DAL,"Dallas, TX","2024-01-14 09:56:05","2024-01-14 09:56:05",
184,DAM,"Damariscotta, ME","2024-01-14 09:56:05","2024-01-14 09:56:05",
185,DVI,"Danville, IL","2024-01-14 09:56:05","2024-01-14 09:56:05",
186,DAN,"Danville, VA","2024-01-14 09:56:05","2024-01-14 09:56:05",
187,DVP,"Davenport, IA","2024-01-14 09:56:05","2024-01-14 09:56:05",
188,DAV,"Davis, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
189,DYA,"Daytona Beach, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
190,DER,"Dearborn, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
191,DPK,"Deer Park - Bus Stop, WA","2024-01-14 09:56:05","2024-01-14 09:56:05",
192,DFB,"Deerfield Beach, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
193,DRT,"Del Rio, TX","2024-01-14 09:56:05","2024-01-14 09:56:05",
194,DLD,"Deland, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
195,DLB,"Delray Beach, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
196,DEM,"Deming, NM","2024-01-14 09:56:05","2024-01-14 09:56:05",
197,DNK,"Denmark, SC","2024-01-14 09:56:05","2024-01-14 09:56:05",
198,DEB,"Denver - Bus Station, CO","2024-01-14 09:56:05","2024-01-14 09:56:05",
199,DEN,"Denver, CO","2024-01-14 09:56:05","2024-01-14 09:56:05",
200,DET,"Detroit, MI","2024-01-14 09:56:05","2024-01-14 09:56:05",
201,DLK,"Detroit Lakes, MN",,,
202,DVL,"Devils Lake, ND",,,
203,DIL,"Dillon, SC",,,
204,DDG,"Dodge City, KS",,,
205,DVR,"Dover, DE",,,
206,DOV,"Dover, NH",,,
207,DOA,"Dowagiac, MI",,,
208,DOW,"Downingtown, PA",,,
209,DQN,"Du Quoin, IL",,,
210,DBP,"Dublin-Pleasanton, CA",,,
211,DUL,"Duluth - Bus Station, MN",,,
212,DUU,"Duluth - U of Minn Bus Stop, MN",,,
213,DUK,"Dunkirk, NY",,,
214,DUN,"Dunsmuir, CA",,,
215,DRD,"Durand, MI",,,
216,DNC,"Durham, NC",,,
217,DHM,"Durham, NH",,,
218,DWT,"Dwight, IL",,,
219,DYE,"Dyer, IN",,,
220,TRK,"Denair, CA",,,
221,GPK,"East Glacier Park, MT ",,,
222,LNS,"East Lansing, MI",,,
223,ESN,"Easton - Airport, MD",,,
224,EUC,"Eau Claire - University of Wisconsin Bus Stop, WI",,,
225,EUM,"Eau Claire - Bus Stop, WI",,,
226,EDM,"Edmonds, WA",,,
227,EFG,"Effingham, IL",,,
228,EGH,"Egg Harbor City - NJ Transit Station, NJ",,,
229,ELB,"El Paso - Bus Station, TX",,,
230,ELP,"El Paso, TX",,,
231,EPL,"El Portal - Yosemite View Lodge Bus Stop, CA",,,
232,ESG,"El Segundo - Bus Stop, CA",,,
233,ELT,"Elizabethtown, PA",,,
234,EKG,"Elk Grove - Bus Stop, CA",,,
235,EKH,"Elkhart, IN",,,
236,ELK,"Elko, NV",,,
237,ELS,"Elsie, OR",,,
238,ELY,"Elyria, OH",,,
239,EMY,"Emeryville, CA",,,
240,ENC,"Encinitas, CA",,,
241,EPH,"Ephrata, WA",,,
242,EPR,"Ephrata - Bus Stop, WA",,,
243,ERI,"Erie, PA",,,
244,EMI,"Escanaba - Bus Stop, MI",,,
245,ESM,"Essex, MT",,,
246,ESX,"Essex Junction, VT",,,
247,EUB,"Eugene - Bus Station, OR",,,
248,EUG,"Eugene, OR",,,
249,EUO,"Eugene - University of Oregon Bus Stop, OR",,,
250,EKA,"Eureka, CA",,,
251,EVY,"Evanston - Bus Stop, WY",,,
252,EVN,"Evansville - Bus Station, IN",,,
253,EVR,"Everett, WA",,,
254,EXR,"Exeter, NH",,,
255,EXT,"Exton, PA",,,
256,FAR,"Fargo, ND",,,
257,FAY,"Fayetteville, NC",,,
258,FIL,"Fillmore, CA",,,
259,FSH,"Fish Camp - Tenaya Lodge at Yosemite Bus Stop, CA",,,
